step,t(s),meas_pos(m),meas_vel(m/s),est_pos(m),est_vel(m/s),u(m/s^2)
319,3.19,5.16128,-0.796213,5.25908,-0.803065,-0.485755
320,3.2,5.33489,-0.822178,5.25129,-0.809155,-0.484671
321,3.21,5.25856,-0.78744,5.24348,-0.811455,-0.483776
322,3.22,5.28703,-0.840416,5.23537,-0.818511,-0.482611
323,3.23,5.29169,-0.847646,5.22724,-0.825554,-0.481446
324,3.24,5.21641,-0.8221,5.21902,-0.829586,-0.480423
325,3.25,5.23,-0.809947,5.21101,-0.832039,-0.479499
326,3.26,5.13021,-0.804666,5.20262,-0.833881,-0.478568
327,3.27,5.11673,-0.834724,5.19394,-0.838405,-0.477474
328,3.28,5.104,-0.842172,5.18516,-0.843202,-0.476356
329,3.29,5.20112,-0.863721,5.17668,-0.849428,-0.475196
330,3.3,5.19587,-0.86345,5.1682,-0.855021,-0.474069
331,3.31,5.10503,-0.877699,5.15922,-0.861546,-0.472844
332,3.32,5.07667,-0.853385,5.15035,-0.865156,-0.471778
333,3.33,5.14139,-0.879785,5.14159,-0.870817,-0.470618
334,3.34,5.15114,-0.900532,5.13271,-0.877873,-0.469378
335,3.35,5.1235,-0.878562,5.12395,-0.882187,-0.468285
336,3.36,5.07426,-0.896501,5.11483,-0.887845,-0.46709
337,3.37,5.10783,-0.914912,5.10573,-0.894642,-0.465841
338,3.38,5.07383,-0.910702,5.09655,-0.900417,-0.464634
339,3.39,5.05688,-0.886268,5.08756,-0.903321,-0.46359
340,3.4,5.12499,-0.927627,5.07853,-0.909759,-0.462365
341,3.41,5.21553,-0.946723,5.06978,-0.917245,-0.461116
342,3.42,5.06938,-0.890577,5.06091,-0.91887,-0.460147
343,3.43,5.09428,-0.9286,5.05184,-0.923897,-0.45899
344,3.44,5.01816,-0.920121,5.04255,-0.927727,-0.457868
345,3.45,5.07942,-0.940787,5.03338,-0.933045,-0.456686
346,3.46,5.0007,-0.927772,5.02401,-0.93671,-0.455565
347,3.47,4.99432,-0.943882,5.0145,-0.941544,-0.454373
348,3.48,4.99655,-0.921158,5.00525,-0.943731,-0.453339
349,3.49,4.98073,-0.946751,4.99574,-0.948142,-0.452167
350,3.5,4.99643,-0.941457,4.98638,-0.951584,-0.451059
351,3.51,4.98006,-0.938038,4.97702,-0.954373,-0.449984
352,3.52,4.90254,-0.975675,4.96701,-0.960565,-0.448673
353,3.53,5.04117,-1.01744,4.95729,-0.969909,-0.447233
354,3.54,4.92006,-1.02201,4.94701,-0.978948,-0.445753
355,3.55,4.98466,-0.993502,4.93732,-0.984296,-0.444517
356,3.56,5.03345,-0.941151,4.92836,-0.984064,-0.443633
357,3.57,4.8966,-0.969474,4.91857,-0.986724,-0.442521
358,3.58,4.84534,-1.00192,4.9083,-0.992265,-0.441217
359,3.59,4.94534,-1.00853,4.89846,-0.997736,-0.439959
360,3.6,4.88085,-0.999569,4.88845,-1.0019,-0.43875
361,3.61,4.96567,-0.996605,4.87888,-1.00524,-0.437626
362,3.62,4.85645,-0.98031,4.86902,-1.00685,-0.43656
363,3.63,4.95886,-1.00949,4.85939,-1.01091,-0.435394
364,3.64,4.91921,-0.971963,4.84996,-1.01104,-0.434444
365,3.65,4.81366,-1.03282,4.83956,-1.01708,-0.433102
366,3.66,4.78604,-1.01261,4.82925,-1.02064,-0.431893
367,3.67,4.86611,-1.03886,4.81911,-1.02621,-0.4306
368,3.68,4.86504,-1.02146,4.80915,-1.02958,-0.429437
369,3.69,4.77813,-1.04355,4.79866,-1.03482,-0.428125
370,3.7,4.76349,-1.07443,4.78786,-1.0425,-0.426661
371,3.71,4.85419,-1.06836,4.77755,-1.0487,-0.42532
372,3.72,4.7944,-1.05037,4.76719,-1.05267,-0.424085
373,3.73,4.73275,-1.04372,4.75666,-1.05569,-0.422881
374,3.74,4.71642,-1.05489,4.74599,-1.05949,-0.421625
375,3.75,4.81609,-1.06092,4.73576,-1.06332,-0.42041
376,3.76,4.66959,-1.08268,4.72472,-1.06905,-0.41902
377,3.77,4.75244,-1.06109,4.71429,-1.07203,-0.417828
378,3.78,4.66843,-1.06089,4.70353,-1.0748,-0.416613
379,3.79,4.70149,-1.09486,4.69266,-1.08046,-0.415243
380,3.8,4.70917,-1.0966,4.68184,-1.08572,-0.413899
381,3.81,4.64918,-1.10399,4.67074,-1.09123,-0.412513
382,3.82,4.6806,-1.05584,4.66026,-1.09157,-0.411447
383,3.83,4.70417,-1.10119,4.64951,-1.09613,-0.410145
384,3.84,4.59456,-1.12967,4.63807,-1.10309,-0.408653
385,3.85,4.61811,-1.11057,4.62695,-1.10751,-0.407319
386,3.86,4.65303,-1.14845,4.61568,-1.11504,-0.405816
387,3.87,4.71278,-1.11862,4.60499,-1.11889,-0.404554
